School Name,URL
SEKOLAH MENENGAH KEBANGSAAN DAMANSARA JAYA,https://sites.google.com/moe-dl.edu.my/smkbud2bea8658/laman-utama
SEKOLAH MENENGAH KEBANGSAAN KUALA KUBU BHARU,https://sites.google.com/moe-dl.edu.my/kolej-ting-6-kota-kinabalu/album
SEKOLAH MENENGAH KEBANGSAAN BUKIT SENTOSA,https://sites.google.com/moe-dl.edu.my/kemaskiniiddelimakl/home
SEKOLAH MENENGAH SAINS HULU SELANGOR,https://sites.google.com/moe-dl.edu.my/kokusekuat/pencapaian-kokurikulum-dan-ko-akademik-sekuat/peringkat-daerah
SEKOLAH MENENGAH KEBANGSAAN AMPANG PECAH,https://sites.google.com/moe-dl.edu.my/siskap2022-2023/kelab-persatuan/agama-islam
SEKOLAH MENENGAH KEBANGSAAN TAMAN BUNGA RAYA (1),https://sites.google.com/moe-dl.edu.my/smkpadangtengku/bimbingan-dan-kaunseling/laman-interaktif-minda-sihat
SEKOLAH MENENGAH KEBANGSAAN SERENDAH,https://sites.google.com/moe-dl.edu.my/malledubp/delima
SEKOLAH MENENGAH KEBANGSAAN BUKIT SENTOSA 2,https://sites.google.com/moe-dl.edu.my/kemaskiniiddelimakl/home
SEKOLAH MENENGAH KEBANGSAAN MUNSHI ABDULLAH,https://sites.google.com/moe-dl.edu.my/unitbahasaprogram-pso-2021/aktiviti-unit-bahasa/aktiviti-u-bahasa-2023/bulan-januari-2023
SEKOLAH MENENGAH KEBANGSAAN SUNGAI BESAR,https://sites.google.com/moe-dl.edu.my/cikgumusli/home
SEKOLAH MENENGAH KEBANGSAAN GOMBAK SETIA,"https://sites.google.com/moe-dl.edu.my/jeldr/cpd/webinars?google_abuse=GOOGLE_ABUSE_EXEMPTION%3DID%3D9e3954e08915ee94:TM%3D1654809389:C%3D%3E:IP%3D66.249.73.43-:S%3DbiN74AZN9IoDEhfmvm9zGQ%3B+path%3D/%3B+domain%3Dgoogle.com%3B+expires%3DFri,+10-Jun-2022+00:16:29+GMT"
SEKOLAH MENENGAH KEBANGSAAN TAMAN SELAYANG,"https://sites.google.com/moe-dl.edu.my/jeldr/cpd/webinars?google_abuse=GOOGLE_ABUSE_EXEMPTION%3DID%3D9e3954e08915ee94:TM%3D1654809389:C%3D%3E:IP%3D66.249.73.43-:S%3DbiN74AZN9IoDEhfmvm9zGQ%3B+path%3D/%3B+domain%3Dgoogle.com%3B+expires%3DFri,+10-Jun-2022+00:16:29+GMT"
SEKOLAH MENENGAH KEBANGSAAN TAMAN EHSAN,https://sites.google.com/moe-dl.edu.my/digitalpsssmkbkt/laman-utama
SEKOLAH MENENGAH KEBANGSAAN RAWANG,https://sites.google.com/moe-dl.edu.my/skbtp
SEKOLAH MENENGAH KEBANGSAAN TAMAN KERAMAT,https://sites.google.com/moe-dl.edu.my/upbmjpwpkl/pegawai-teknikal/teknikal-ko-akademik-bahasa-melayu
SEKOLAH MENENGAH KEBANGSAAN SERI GOMBAK,https://sites.google.com/moe-dl.edu.my/kuizonline/quizizz/matematik
