Source Website,URL,Link Text
skttdijayaskk,https://sites.google.com/moe-dl.edu.my/skttdijayaskk/pemakluman-ketidakhadiran-ke-sekolah,pemakluman ketidakhadiran ke sekolah
skttdijayaskk,https://sites.google.com/moe-dl.edu.my/skttdijayaskk/id-google-classroom-murid,id google classroom murid 
skttdijayaskk,https://sites.google.com/moe-dl.edu.my/skttdijayaskk/senarai-nama-murid-mengikut-rumah-sukan,senarai nama murid mengikut rumah sukan
skttdijayaskk,https://sites.google.com/moe-dl.edu.my/skttdijayaskk/senarai-nama-murid-mengikut-unit-kokurikulum,senarai nama murid mengikut unit kokurikulum
skttdijayaskk,https://sites.google.com/moe-dl.edu.my/skttdijayaskk/senarai-nama-murid-mengikut-kelas,senarai nama murid mengikut kelas
smkss,https://sites.google.com/moe-dl.edu.my/smkss/hal-ehwal-murid,hal ehwal murid
smkss,https://sites.google.com/moe-dl.edu.my/smkss/hal-ehwal-murid,hal ehwal murid
smkss,https://sites.google.com/moe-dl.edu.my/smkss/hal-ehwal-murid,hal ehwal murid
smkss,https://drive.google.com/drive/folders/14QGCD2KDvcpWWmWMZDxkr-MHYMA0_BY1,📑 namelist murid
smkss,http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2Fwea0237_datakokomurid&sa=D&sntz=1&usg=AOvVaw1eQf7D3-CiyVDW9FmBKbCO,⚽️ kokurikulum murid
smkss,https://drive.google.com/drive/folders/1whcijW50hGilvZQOWjCqVZIc8dJkUaCl?usp=sharing,👔 badan perkhidmatan
smkss,https://www.google.com/url?q=https%3A%2F%2Fidme.moe.gov.my&sa=D&sntz=1&usg=AOvVaw3VYc0QXIvUE2BGP5V8ywFJ,✅ sppb (idme) kpm
smkss,https://docs.google.com/document/d/1KeiZf5IYNmaYV7rrNTu1ZoQdJdGuzG0LIPpXwkkbxjI/copy,template surat tidak hadir 
smkss,https://drive.google.com/drive/folders/1cptuASR9V91smUd9L16fUEKZRkB-a4Jn?usp=share_link,template surat tidak hadir (pdf)
smkss,https://public.moe.gov.my/,modul pengurusan murid
smkss,https://datastudio.google.com/reporting/3568e38b-9fd8-434a-a71c-e1d26996affe,semakan e-mail moe / id delima (@moe-dl.edu.my)
